Timestamp (mm:ss.SSS),ECG Value
12:08.119,1853.250
12:08.114,1854.250
12:08.109,1865.000
12:08.104,1896.250
12:08.099,1930.750
12:08.094,1946.000
12:08.089,1986.500
12:08.084,2024.000
12:08.079,2014.250
12:08.074,2011.000
12:08.069,1983.500
12:08.064,1920.500
12:08.059,1969.750
12:08.054,2022.000
12:08.049,2016.250
12:08.044,2062.250
12:08.039,2076.250
12:08.034,2024.750
12:08.029,1991.000
12:08.024,1913.750
12:08.019,1902.500
12:08.014,2003.000
12:08.009,2044.000
12:08.004,2012.000
12:07.999,2012.250
12:07.994,1973.750
12:07.989,1888.750
12:07.984,1847.000
12:07.979,1928.500
12:07.974,2001.750
12:07.969,1992.000
12:07.964,1901.500
12:07.959,1825.000
12:07.954,1778.000
12:07.949,1823.750
12:07.944,1904.000
12:07.939,1970.500
12:07.934,1987.000
12:07.929,1931.250
12:07.924,1822.250
12:07.919,1827.250
12:07.914,1894.750
12:07.909,1926.750
12:07.904,1965.750
12:07.899,1932.750
12:07.894,1848.250
12:07.889,1758.750
12:07.884,1786.000
12:07.879,1912.250
12:07.874,1945.000
12:07.869,1785.500
12:07.864,1649.000
12:07.859,1696.000
12:07.854,1727.000
12:07.849,1755.250
12:07.844,1816.250
12:07.839,1690.250
12:07.834,1476.500
12:07.829,1593.000
12:07.824,1916.750
12:07.819,2296.750
12:07.814,2881.000
12:07.809,3466.250
12:07.804,3422.500
12:07.799,2621.750
12:07.794,1969.500
12:07.789,1575.000
12:07.784,1435.250
12:07.779,1557.000
12:07.774,1807.750
12:07.769,1956.500
12:07.764,1919.250
12:07.759,1795.500
12:07.754,1703.000
12:07.749,1756.250
12:07.744,1835.750
12:07.739,1854.500
12:07.734,1872.500
12:07.729,1903.500
12:07.724,1898.500
12:07.719,1838.500
12:07.714,1727.500
12:07.709,1757.000
12:07.704,1800.750
12:07.699,1789.250
12:07.694,1837.500
12:07.689,1920.000
12:07.684,1961.000
12:07.679,1946.750
12:07.674,1864.000
12:07.669,1947.000
12:07.664,2131.000
12:07.659,2151.500
12:07.654,1994.000
12:07.649,1883.250
12:07.644,1882.500
12:07.639,1882.250
12:07.634,1898.250
12:07.629,1901.750
12:07.624,1920.750
11:58.119,1863.750
11:58.114,1913.250
11:58.109,1965.750
11:58.104,1948.750
11:58.099,1965.750
11:58.094,1970.250
11:58.089,1947.250
11:58.084,1924.000
11:58.079,1962.750
11:58.074,1962.000
11:58.069,1890.500
11:58.064,1838.500
11:58.059,1842.000
11:58.054,1906.500
11:58.049,1882.000
11:58.044,1843.250
11:58.039,1834.500
11:58.034,1854.500
11:58.029,1824.750
11:58.024,1803.250
11:58.019,1827.000
11:58.014,1841.500
11:58.009,1845.750
11:58.004,1868.000
11:57.999,1866.250
11:57.994,1804.000
11:57.989,1782.750
11:57.984,1796.000
11:57.979,1832.000
11:57.974,1836.500
11:57.969,1791.250
11:57.964,1770.000
11:57.959,1725.750
11:57.954,1657.500
11:57.949,1602.000
11:57.944,1513.250
11:57.939,1518.750
11:57.934,1725.750
11:57.929,1985.750
11:57.924,2383.000
11:57.919,2947.000
11:57.914,3420.250
11:57.909,3196.500
11:57.904,2436.750
11:57.899,1872.500
11:57.894,1577.000
11:57.889,1403.500
11:57.884,1457.000
11:57.879,1711.250
11:57.874,1793.750
11:57.869,1833.750
11:57.864,1867.750
11:57.859,1827.250
11:57.854,1799.750
11:57.849,1761.750
11:57.844,1769.500
11:57.839,1846.000
11:57.834,1850.500
11:57.829,1779.000
11:57.824,1716.750
11:57.819,1738.250
11:57.814,1796.750
11:57.809,1835.000
11:57.804,1853.000
11:57.799,1849.500
11:57.794,1840.250
11:57.789,1889.250
11:57.784,1987.000
11:57.779,2049.250
11:57.774,1966.000
11:57.769,1900.250
11:57.764,1949.750
11:57.759,1986.750
11:57.754,1933.250
11:57.749,1897.000
11:57.744,1915.000
11:57.739,1876.250
11:57.734,1869.750
11:57.729,1910.750
11:57.724,1964.500
11:57.719,1975.500
11:57.714,1907.500
11:57.709,1807.750
11:57.704,1715.500
11:57.699,1704.250
11:57.694,1789.250
11:57.689,1851.000
11:57.684,1925.000
11:57.679,1945.750
11:57.674,1932.750
11:57.669,1846.000
11:57.664,1798.750
11:57.659,1760.000
11:57.654,1777.000
11:57.649,1832.000
11:57.644,1840.250
11:57.639,1870.750
11:57.634,1830.750
11:57.629,1737.250
11:57.624,1805.500
11:48.118,1840.000
11:48.113,1829.250
11:48.108,1837.000
11:48.103,1838.500
11:48.098,1856.000
11:48.093,1878.500
11:48.088,1869.750
11:48.083,1890.500
11:48.078,1860.750
11:48.073,1766.750
11:48.068,1794.000
11:48.063,1861.250
11:48.058,1822.000
11:48.053,1831.250
11:48.048,1923.500
11:48.043,1943.250
11:48.038,1882.500
11:48.033,1821.250
11:48.028,1844.750
11:48.023,1833.750
11:48.018,1870.250
11:48.013,1900.000
11:48.008,1881.500
11:48.003,1742.750
11:47.998,1709.250
11:47.993,1816.000
11:47.988,1897.750
11:47.983,1959.500
11:47.978,1938.250
11:47.973,1838.250
11:47.968,1781.000
11:47.963,1857.250
11:47.958,1849.750
11:47.953,1793.750
11:47.948,1773.750
11:47.943,1794.750
11:47.938,1802.000
11:47.933,1785.000
11:47.928,1806.250
11:47.923,1865.250
11:47.918,1864.500
11:47.913,1845.000
11:47.908,1818.000
11:47.903,1826.500
11:47.898,1816.500
11:47.893,1771.250
11:47.888,1810.750
11:47.883,1949.250
11:47.878,2006.750
11:47.873,1958.750
11:47.868,1906.000
11:47.863,1972.500
11:47.858,2036.000
11:47.853,2039.250
11:47.848,1948.750
11:47.843,1934.500
11:47.838,2021.500
11:47.833,2110.250
11:47.828,2092.250
11:47.823,2031.000
11:47.818,1933.750
11:47.813,1842.250
11:47.808,1906.000
11:47.803,1954.250
11:47.798,1931.750
11:47.793,1910.000
11:47.788,1909.250
11:47.783,1963.000
11:47.778,2046.000
11:47.773,2056.250
11:47.768,1943.500
11:47.763,1804.750
11:47.758,1902.750
11:47.753,2008.750
11:47.748,1940.750
11:47.743,1802.250
11:47.738,1788.000
11:47.733,1839.500
11:47.728,1898.250
11:47.723,1911.250
11:47.718,1893.000
11:47.713,1891.250
11:47.708,1889.000
11:47.703,1866.000
11:47.698,1835.500
11:47.693,1778.500
11:47.688,1768.750
11:47.683,1785.250
11:47.678,1812.000
11:47.673,1821.250
11:47.668,1849.750
11:47.663,1845.750
11:47.658,1803.750
11:47.653,1745.500
11:47.648,1642.500
11:47.643,1625.000
11:47.638,1679.250
11:47.633,1648.000
11:47.628,1589.750
11:47.623,1562.000
11:38.118,1902.750
11:38.113,1888.500
11:38.108,1891.750
11:38.103,1847.250
11:38.098,1797.250
11:38.093,1871.000
11:38.088,1927.750
11:38.083,1922.750
11:38.078,1902.000
11:38.073,1863.750
11:38.068,1777.250
11:38.063,1795.000
11:38.058,1860.750
11:38.053,1876.750
11:38.048,1842.500
11:38.043,1829.000
11:38.038,1856.750
11:38.033,1849.500
11:38.028,1868.500
11:38.023,1850.750
11:38.018,1782.000
11:38.013,1770.500
11:38.008,1789.000
11:38.003,1771.250
11:37.998,1796.750
11:37.993,1811.500
11:37.988,1797.500
11:37.983,1755.000
11:37.978,1737.250
11:37.973,1770.000
11:37.968,1790.000
11:37.963,1793.500
11:37.958,1764.750
11:37.953,1758.000
11:37.948,1747.750
11:37.943,1753.250
11:37.938,1791.000
11:37.933,1800.250
11:37.928,1744.500
11:37.923,1675.250
11:37.918,1647.750
11:37.913,1601.750
11:37.908,1582.500
11:37.903,1497.250
11:37.898,1502.000
11:37.893,1741.250
11:37.888,2019.250
11:37.883,2390.250
11:37.878,2862.500
11:37.873,3249.750
11:37.868,2978.250
11:37.863,2306.750
11:37.858,1839.000
11:37.853,1584.750
11:37.848,1457.750
11:37.843,1502.250
11:37.838,1691.750
11:37.833,1797.750
11:37.828,1851.750
11:37.823,1847.500
11:37.818,1814.250
11:37.813,1767.500
11:37.808,1790.500
11:37.803,1818.250
11:37.798,1808.250
11:37.793,1785.500
11:37.788,1809.750
11:37.783,1829.250
11:37.778,1785.000
11:37.773,1731.500
11:37.768,1748.250
11:37.763,1772.750
11:37.758,1818.000
11:37.753,1853.250
11:37.748,1865.000
11:37.743,1872.000
11:37.738,1915.250
11:37.733,1960.750
11:37.728,2011.500
11:37.723,2037.000
11:37.718,2032.000
11:37.713,2022.000
11:37.708,1994.000
11:37.703,1963.750
11:37.698,1910.750
11:37.693,1846.750
11:37.688,1796.250
11:37.683,1807.000
11:37.678,1804.250
11:37.673,1784.250
11:37.668,1814.000
11:37.663,1819.250
11:37.658,1804.750
11:37.653,1826.250
11:37.648,1845.250
11:37.643,1851.750
